기업명,인증연도,리콜종류,품목
썬파인,2022,명령에따른리콜,망간 건전지(건전지)
이토르,2022,명령에따른리콜,승차용 눈보호구(승차용 안전모)
MOTOMOA,2022,명령에따른리콜,승차용 눈보호구(승차용 안전모)
월드일렉콤,2022,명령에따른리콜,온열팩(온열팩)
좋은상사,2022,명령에따른리콜,승차용 눈보호구(승차용 안전모)
도무스,2022,명령에따른리콜,가구(높이 762mm이상)(가구(높이 762mm이상))
동서가구,2022,명령에따른리콜,가구(높이 762mm이상)(가구(높이 762mm이상))
GB STYLE,2022,명령에따른리콜,외의류(유섬)(유아용 섬유제품)
미스토리,2022,명령에따른리콜,신생아용품(유섬)(유아용 섬유제품)
구름위에햇님,2022,명령에따른리콜,외의류(유섬)(유아용 섬유제품)
메이블,2022,명령에따른리콜,외의류(유섬)(유아용 섬유제품)
리빙탑스,2022,명령에따른리콜,신생아용품(유섬)(유아용 섬유제품)
말랑하니,2022,명령에따른리콜,신생아용품(유섬)(유아용 섬유제품)
가베,2022,명령에따른리콜,게임 완구(완구)
아이코닉스,2022,명령에따른리콜,기타완구(작동완구)(완구)
키즈토이,2022,명령에따른리콜,게임 완구(완구)
제이엠컴퍼니,2022,명령에따른리콜,외의류(유섬)(유아용 섬유제품)
